ID,invoiceDate,total,status,customer_ID
1,2009-01-01T11:45:32Z,1.98,1,2
2,2009-01-02T11:45:32Z,3.96,1,4
3,2009-01-03T11:45:32Z,5.94,1,8
4,2009-01-06T11:45:32Z,8.91,1,14
5,2009-01-11T11:45:32Z,13.86,1,23
6,2009-01-19T11:45:32Z,0.99,1,37
7,2009-02-01T11:45:32Z,1.98,1,38
8,2009-02-01T11:45:32Z,1.98,1,40
9,2009-02-02T11:45:32Z,3.96,1,42
10,2009-02-03T11:45:32Z,5.94,1,46
11,2009-02-06T11:45:32Z,8.91,1,52
12,2009-02-11T11:45:32Z,13.86,1,2
13,2009-02-19T11:45:32Z,0.99,1,16
14,2009-03-04T11:45:32Z,1.98,1,17
15,2009-03-04T11:45:32Z,1.98,1,19
16,2009-03-05T11:45:32Z,3.96,1,21
17,2009-03-06T11:45:32Z,5.94,1,25
18,2009-03-09T11:45:32Z,8.91,1,31
19,2009-03-14T11:45:32Z,13.86,1,40
20,2009-03-22T11:45:32Z,0.99,1,54
21,2009-04-04T11:45:32Z,1.98,1,55
22,2009-04-04T11:45:32Z,1.98,1,57
23,2009-04-05T11:45:32Z,3.96,1,59
24,2009-04-06T11:45:32Z,5.94,1,4
25,2009-04-09T11:45:32Z,8.91,1,10
26,2009-04-14T11:45:32Z,13.86,1,19
27,2009-04-22T11:45:32Z,0.99,1,33
28,2009-05-05T11:45:32Z,1.98,1,34
29,2009-05-05T11:45:32Z,1.98,1,36
30,2009-05-06T11:45:32Z,3.96,1,38
31,2009-05-07T11:45:32Z,5.94,1,42
32,2009-05-10T11:45:32Z,8.91,1,48
33,2009-05-15T11:45:32Z,13.86,1,57
34,2009-05-23T11:45:32Z,0.99,1,12
35,2009-06-05T11:45:32Z,1.98,1,13
36,2009-06-05T11:45:32Z,1.98,1,15
37,2009-06-06T11:45:32Z,3.96,1,17
38,2009-06-07T11:45:32Z,5.94,1,21
39,2009-06-10T11:45:32Z,8.91,1,27
40,2009-06-15T11:45:32Z,13.86,1,36
41,2009-06-23T11:45:32Z,0.99,1,50
42,2009-07-06T11:45:32Z,1.98,1,51
43,2009-07-06T11:45:32Z,1.98,1,53
44,2009-07-07T11:45:32Z,3.96,1,55
45,2009-07-08T11:45:32Z,5.94,1,59
46,2009-07-11T11:45:32Z,8.91,1,6
47,2009-07-16T11:45:32Z,13.86,1,15
48,2009-07-24T11:45:32Z,0.99,1,29
49,2009-08-06T11:45:32Z,1.98,1,30
50,2009-08-06T11:45:32Z,1.98,1,32
51,2009-08-07T11:45:32Z,3.96,1,34
52,2009-08-08T11:45:32Z,5.94,1,38
53,2009-08-11T11:45:32Z,8.91,1,44
54,2009-08-16T11:45:32Z,13.86,1,53
55,2009-08-24T11:45:32Z,0.99,1,8
56,2009-09-06T11:45:32Z,1.98,1,9
57,2009-09-06T11:45:32Z,1.98,1,11
58,2009-09-07T11:45:32Z,3.96,1,13
59,2009-09-08T11:45:32Z,5.94,1,17
60,2009-09-11T11:45:32Z,8.91,1,23
61,2009-09-16T11:45:32Z,13.86,1,32
62,2009-09-24T11:45:32Z,0.99,1,46
63,2009-10-07T11:45:32Z,1.98,1,47
64,2009-10-07T11:45:32Z,1.98,1,49
65,2009-10-08T11:45:32Z,3.96,1,51
66,2009-10-09T11:45:32Z,5.94,1,55
67,2009-10-12T11:45:32Z,8.91,1,2
68,2009-10-17T11:45:32Z,13.86,1,11
69,2009-10-25T11:45:32Z,0.99,1,25
70,2009-11-07T11:45:32Z,1.98,1,26
71,2009-11-07T11:45:32Z,1.98,1,28
72,2009-11-08T11:45:32Z,3.96,1,30
73,2009-11-09T11:45:32Z,5.94,1,34
74,2009-11-12T11:45:32Z,8.91,1,40
75,2009-11-17T11:45:32Z,13.86,1,49
76,2009-11-25T11:45:32Z,0.99,1,4
77,2009-12-08T11:45:32Z,1.98,1,5
78,2009-12-08T11:45:32Z,1.98,1,7
79,2009-12-09T11:45:32Z,3.96,1,9
80,2009-12-10T11:45:32Z,5.94,1,13
81,2009-12-13T11:45:32Z,8.91,1,19
82,2009-12-18T11:45:32Z,13.86,1,28
83,2009-12-26T11:45:32Z,0.99,1,42
84,2010-01-08T11:45:32Z,1.98,1,43
85,2010-01-08T11:45:32Z,1.98,1,45
86,2010-01-09T11:45:32Z,3.96,1,47
87,2010-01-10T11:45:32Z,6.94,1,51
88,2010-01-13T11:45:32Z,17.91,1,57
89,2010-01-18T11:45:32Z,18.86,1,7
90,2010-01-26T11:45:32Z,0.99,1,21
91,2010-02-08T11:45:32Z,1.98,1,22
92,2010-02-08T11:45:32Z,1.98,1,24
93,2010-02-09T11:45:32Z,3.96,1,26
94,2010-02-10T11:45:32Z,5.94,1,30
95,2010-02-13T11:45:32Z,8.91,1,36
96,2010-02-18T11:45:32Z,21.86,1,45
97,2010-02-26T11:45:32Z,1.99,1,59
98,2010-03-11T11:45:32Z,3.98,1,1
99,2010-03-11T11:45:32Z,3.98,1,3
100,2010-03-12T11:45:32Z,3.96,1,5
101,2010-03-13T11:45:32Z,5.94,1,9
102,2010-03-16T11:45:32Z,9.91,1,15
103,2010-03-21T11:45:32Z,15.86,1,24
104,2010-03-29T11:45:32Z,0.99,1,38
105,2010-04-11T11:45:32Z,1.98,1,39
106,2010-04-11T11:45:32Z,1.98,1,41
107,2010-04-12T11:45:32Z,3.96,1,43
108,2010-04-13T11:45:32Z,5.94,1,47
109,2010-04-16T11:45:32Z,8.91,1,53
110,2010-04-21T11:45:32Z,13.86,1,3
111,2010-04-29T11:45:32Z,0.99,1,17
112,2010-05-12T11:45:32Z,1.98,1,18
113,2010-05-12T11:45:32Z,1.98,1,20
114,2010-05-13T11:45:32Z,3.96,1,22
115,2010-05-14T11:45:32Z,5.94,1,26
116,2010-05-17T11:45:32Z,8.91,1,32
117,2010-05-22T11:45:32Z,13.86,1,41
118,2010-05-30T11:45:32Z,0.99,1,55
119,2010-06-12T11:45:32Z,1.98,1,56
120,2010-06-12T11:45:32Z,1.98,1,58
121,2010-06-13T11:45:32Z,3.96,1,1
122,2010-06-14T11:45:32Z,5.94,1,5
123,2010-06-17T11:45:32Z,8.91,1,11
124,2010-06-22T11:45:32Z,13.86,1,20
125,2010-06-30T11:45:32Z,0.99,1,34
126,2010-07-13T11:45:32Z,1.98,1,35
127,2010-07-13T11:45:32Z,1.98,1,37
128,2010-07-14T11:45:32Z,3.96,1,39
129,2010-07-15T11:45:32Z,5.94,1,43
130,2010-07-18T11:45:32Z,8.91,1,49
131,2010-07-23T11:45:32Z,13.86,1,58
