ID,name,composer,unitPrice,album_ID,genre_ID
1,For Those About To Rock (We Salute You),"Angus Young, Malcolm Young, Brian Johnson",0.99,1,1
3,Fast As a Shark,"F. Baltes, S. Kaufman, U. Dirkscneider & W. Hoffman",0.99,3,1
4,Restless and Wild,"F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman",0.99,3,1
5,Princess of the Dawn,Deaffy & R.A. Smith-Diesel,0.99,3,1
6,Put The Finger On You,"Angus Young, Malcolm Young, Brian Johnson",0.99,1,1
7,Let's Get It Up,"Angus Young, Malcolm Young, Brian Johnson",0.99,1,1
8,Inject The Venom,"Angus Young, Malcolm Young, Brian Johnson",0.99,1,1
9,Snowballed,"Angus Young, Malcolm Young, Brian Johnson",0.99,1,1
10,Evil Walks,"Angus Young, Malcolm Young, Brian Johnson",0.99,1,1
11,C.O.D.,"Angus Young, Malcolm Young, Brian Johnson",0.99,1,1
12,Breaking The Rules,"Angus Young, Malcolm Young, Brian Johnson",0.99,1,1
13,Night Of The Long Knives,"Angus Young, Malcolm Young, Brian Johnson",0.99,1,1
14,Spellbound,"Angus Young, Malcolm Young, Brian Johnson",0.99,1,1
15,Go Down,AC/DC,0.99,4,1
16,Dog Eat Dog,AC/DC,0.99,4,1
17,Let There Be Rock,AC/DC,0.99,4,1
18,Bad Boy Boogie,AC/DC,0.99,4,1
19,Problem Child,AC/DC,0.99,4,1
20,Overdose,AC/DC,0.99,4,1
21,Hell Ain't A Bad Place To Be,AC/DC,0.99,4,1
22,Whole Lotta Rosie,AC/DC,0.99,4,1
23,Walk On Water,"Steven Tyler, Joe Perry, Jack Blades, Tommy Shaw",0.99,5,1
24,Love In An Elevator,"Steven Tyler, Joe Perry",0.99,5,1
25,Rag Doll,"Steven Tyler, Joe Perry, Jim Vallance, Holly Knight",0.99,5,1
26,What It Takes,"Steven Tyler, Joe Perry, Desmond Child",0.99,5,1
27,Dude (Looks Like A Lady),"Steven Tyler, Joe Perry, Desmond Child",0.99,5,1
28,Janie's Got A Gun,"Steven Tyler, Tom Hamilton",0.99,5,1
29,Cryin',"Steven Tyler, Joe Perry, Taylor Rhodes",0.99,5,1
30,Amazing,"Steven Tyler, Richie Supa",0.99,5,1
31,Blind Man,"Steven Tyler, Joe Perry, Taylor Rhodes",0.99,5,1
32,Deuces Are Wild,"Steven Tyler, Jim Vallance",0.99,5,1
33,The Other Side,"Steven Tyler, Jim Vallance",0.99,5,1
34,Crazy,"Steven Tyler, Joe Perry, Desmond Child",0.99,5,1
35,Eat The Rich,"Steven Tyler, Joe Perry, Jim Vallance",0.99,5,1
36,Angel,"Steven Tyler, Desmond Child",0.99,5,1
37,Livin' On The Edge,"Steven Tyler, Joe Perry, Mark Hudson",0.99,5,1
38,All I Really Want,Alanis Morissette & Glenn Ballard,0.99,6,1
39,You Oughta Know,Alanis Morissette & Glenn Ballard,0.99,6,1
40,Perfect,Alanis Morissette & Glenn Ballard,0.99,6,1
41,Hand In My Pocket,Alanis Morissette & Glenn Ballard,0.99,6,1
42,Right Through You,Alanis Morissette & Glenn Ballard,0.99,6,1
43,Forgiven,Alanis Morissette & Glenn Ballard,0.99,6,1
