code;name;descr
AU;Australia;Commonwealth of Australia
CA;Canada;Canada
CN;China;People's Republic of China (PRC)
FR;France;French Republic
DE;Germany;Federal Republic of Germany
IN;India;Republic of India
IL;Israel;State of Israel
MM;Myanmar;Republic of the Union of Myanmar
GB;United Kingdom;United Kingdom of Great Britain and Northern Ireland
US;United States;United States of America (USA)
EU;European Union;European Union
IT;Italy;Italy
SG;Singapore;Singapore
AT;Austria;Austria
SE;Sweden;Sweden
CH;Switzerland;Switzerland
RU;Russia;Russia
JP;Japan;Japan
ZA;South Africa;South Africa
ES;Spain;Spain
BE;Belgium;Belgium
SI;Slovenia;Slovenia
NL;Netherlands;Netherlands
MX;Mexico;Mexico
BR;Brazil;Brazil
CU;Cuba;Cuba
ZW;Zimbabwe;Zimbabwe
MY;Malaysia;Malaysia
TH;Thailand;Thailand
