ID,name,composer,milliseconds,bytes,unitPrice,album_ID,mediaType_ID,genre_ID
1,For Those About To Rock (We Salute You),"Angus Young, Malcolm Young, Brian Johnson",343719,11170334,0.99,1,1,1
3,Fast As a Shark,"F. Baltes, S. Kaufman, U. Dirkscneider & W. Hoffman",230619,3990994,0.99,3,2,1
4,Restless and Wild,"F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman",252051,4331779,0.99,3,2,1
5,Princess of the Dawn,Deaffy & R.A. Smith-Diesel,375418,6290521,0.99,3,2,1
6,Put The Finger On You,"Angus Young, Malcolm Young, Brian Johnson",205662,6713451,0.99,1,1,1
7,Let's Get It Up,"Angus Young, Malcolm Young, Brian Johnson",233926,7636561,0.99,1,1,1
8,Inject The Venom,"Angus Young, Malcolm Young, Brian Johnson",210834,6852860,0.99,1,1,1
9,Snowballed,"Angus Young, Malcolm Young, Brian Johnson",203102,6599424,0.99,1,1,1
10,Evil Walks,"Angus Young, Malcolm Young, Brian Johnson",263497,8611245,0.99,1,1,1
11,C.O.D.,"Angus Young, Malcolm Young, Brian Johnson",199836,6566314,0.99,1,1,1
12,Breaking The Rules,"Angus Young, Malcolm Young, Brian Johnson",263288,8596840,0.99,1,1,1
13,Night Of The Long Knives,"Angus Young, Malcolm Young, Brian Johnson",205688,6706347,0.99,1,1,1
14,Spellbound,"Angus Young, Malcolm Young, Brian Johnson",270863,8817038,0.99,1,1,1
15,Go Down,AC/DC,331180,10847611,0.99,4,1,1
16,Dog Eat Dog,AC/DC,215196,7032162,0.99,4,1,1
17,Let There Be Rock,AC/DC,366654,12021261,0.99,4,1,1
18,Bad Boy Boogie,AC/DC,267728,8776140,0.99,4,1,1
19,Problem Child,AC/DC,325041,10617116,0.99,4,1,1
20,Overdose,AC/DC,369319,12066294,0.99,4,1,1
21,Hell Ain't A Bad Place To Be,AC/DC,254380,8331286,0.99,4,1,1
22,Whole Lotta Rosie,AC/DC,323761,10547154,0.99,4,1,1
23,Walk On Water,"Steven Tyler, Joe Perry, Jack Blades, Tommy Shaw",295680,9719579,0.99,5,1,1
24,Love In An Elevator,"Steven Tyler, Joe Perry",321828,10552051,0.99,5,1,1
25,Rag Doll,"Steven Tyler, Joe Perry, Jim Vallance, Holly Knight",264698,8675345,0.99,5,1,1
26,What It Takes,"Steven Tyler, Joe Perry, Desmond Child",310622,10144730,0.99,5,1,1
27,Dude (Looks Like A Lady),"Steven Tyler, Joe Perry, Desmond Child",264855,8679940,0.99,5,1,1
28,Janie's Got A Gun,"Steven Tyler, Tom Hamilton",330736,10869391,0.99,5,1,1
29,Cryin',"Steven Tyler, Joe Perry, Taylor Rhodes",309263,10056995,0.99,5,1,1
30,Amazing,"Steven Tyler, Richie Supa",356519,11616195,0.99,5,1,1
31,Blind Man,"Steven Tyler, Joe Perry, Taylor Rhodes",240718,7877453,0.99,5,1,1
32,Deuces Are Wild,"Steven Tyler, Jim Vallance",215875,7074167,0.99,5,1,1
33,The Other Side,"Steven Tyler, Jim Vallance",244375,7983270,0.99,5,1,1
34,Crazy,"Steven Tyler, Joe Perry, Desmond Child",316656,10402398,0.99,5,1,1
35,Eat The Rich,"Steven Tyler, Joe Perry, Jim Vallance",251036,8262039,0.99,5,1,1
36,Angel,"Steven Tyler, Desmond Child",307617,9989331,0.99,5,1,1
